situation,relationship,personA,personB,state,logit_schrecklich,prob_schrecklich,logprob_schrecklich,logit_gut,prob_gut,logprob_gut,logit_großartig,prob_großartig,logprob_großartig,logit_schlecht,prob_schlecht,logprob_schlecht,logit_okay,prob_okay,logprob_okay,pred_top1
Kuchen,enge Freundin,Sophie,Luisa,1,-2.988057934121295,0.05060638555598419,-2.983677511916242,-7.076490936623155,0.0008484405705074715,-7.07211039853085,-7.707171211679729,0.0004515651984429278,-7.702790569998771,-0.0608793988337726,0.9450674497820531,-0.05649897849894252,-5.8048415759664165,0.003026158893012097,-5.800461122692208,schlecht
Kuchen,enge Freundin,Katharina,Sophie,2,-4.72640063712752,0.00898211385350527,-4.712520017522734,-4.314032404349126,0.013566499517193598,-4.300151788506479,-6.296206352733023,0.0018690486063081167,-6.282325690758319,-0.28464166581737554,0.7627987397868244,-0.27076105721473037,-1.5613602089145555,0.21278359823616858,-1.5474795999730453,schlecht
Kuchen,enge Freundin,Katharina,Luisa,3,-7.242396972180496,0.0007311888846127253,-7.220838602745351,-1.6463362339406138,0.19695539419880448,-1.6247780007612966,-4.771379964744025,0.008653237660375644,-4.749821720516069,-2.8537052188087846,0.058886289804751475,-2.8321469844390084,-0.32975069316912936,0.7347738894514557,-0.30819246036144515,okay
Kuchen,enge Freundin,Luisa,Anna,4,-9.532750422241786,7.361663113619067e-05,-9.516638232843924,-0.5395533526315417,0.5924774169085874,-0.5234425214526756,-0.916436462720238,0.4064372893201736,-0.9003256314641144,-8.602323751622553,0.00018666165329492504,-8.58621238488394,-7.11621923092744,0.0008250154868079514,-7.100108278707518,gut
Kuchen,enge Freundin,Miriam,Anna,5,-9.128283394760164,0.0001107023052171712,-9.108664991139998,-6.9098614883204545,0.0010176655125051653,-6.8902438897593274,-0.020782290157585363,0.998835888243833,-0.0011647897604515297,-10.259243626133209,3.572620424974811e-05,-10.239623326774211,-17.867388648964987,1.77341948502144e-08,-17.842148163521603,großartig
Kuchen,entfernte Kollegin,Luisa,Katharina,1,-3.414024311192658,0.033064370339026976,-3.4092989981387882,-6.493733610241544,0.00152005569976657,-6.489008234425018,-7.52284372221465,0.0005431535961533759,-7.518118228075217,-0.04530371977107207,0.9602338698699168,-0.04057840963746499,-5.378078664868009,0.004638550495136153,-5.373353333280085,schlecht
Kuchen,entfernte Kollegin,Anna,Katharina,2,-5.073684766655751,0.006369082132994207,-5.056299896231103,-3.6472827970032906,0.026518890728329567,-3.629897938508595,-6.146119054379208,0.002179337822095172,-6.128734153769913,-0.5147098079782803,0.6081553296451347,-0.4973249530900499,-1.0480281888489937,0.3567773596714463,-1.0306433338449081,schlecht
Kuchen,entfernte Kollegin,Miriam,Sophie,3,-8.022554269804862,0.000334846309966187,-8.001838608985125,-1.7610505460746935,0.17546157886329974,-1.7403351833294585,-4.675202720754516,0.009518791718312979,-4.654487348073672,-4.049460676019195,0.017796645155746627,-4.028745308224849,-0.24775632610399026,0.7968881379526743,-0.22704096380319275,okay
Kuchen,entfernte Kollegin,Luisa,Anna,4,-9.726676448090293,6.075164467907385e-05,-9.708714757158898,-0.7808342367789668,0.46632419379906803,-0.762874191677745,-0.6469064148883694,0.5331532514339106,-0.6289463698140274,-8.846238044496316,0.00014653034767284719,-8.828277317157285,-8.080032387413732,0.0003152727746693378,-8.062072025341354,großartig
Kuchen,entfernte Kollegin,Luisa,Sophie,5,-9.753202978086481,5.9304387407912614e-05,-9.7328255818403,-7.233295576725493,0.0007370020629257043,-7.212919731008953,-0.021193999454577884,0.9991820452846283,-0.0008182893227775362,-10.761758506941625,2.163100627457004e-05,-10.741378173927158,-17.895321505222807,1.7258763470582134e-08,-17.86916835890419,großartig
Kuchen,lockere Chefin,Miriam,Anna,1,-2.875340223854756,0.05657795340920063,-2.872135883624992,-6.769741470402165,0.0011516758552651573,-6.7665370451098905,-7.1575933407575505,0.0007814268595613619,-7.154388874324238,-0.06569793512983142,0.9394190782068932,-0.06249359656109157,-6.183475906437321,0.0020698656690795814,-6.180271519662718,schlecht
Kuchen,lockere Chefin,Anna,Luisa,2,-4.761320700581231,0.00862328993530232,-4.753288592496729,-4.522451634573087,0.010949959316823793,-4.514419528952633,-7.006044584013828,0.0009136961445905624,-6.998012378080259,-0.20956114058415687,0.8174798342523867,-0.20152904397382956,-1.8279859973660557,0.16203322035089665,-1.8199539002608982,schlecht
Kuchen,lockere Chefin,Luisa,Anna,3,-7.565660052434,0.0005275632403081354,-7.547241623409121,-2.0398451173434045,0.1324663169105252,-2.021426877114334,-5.2962346652475265,0.005103562642516177,-5.27781640617921,-3.4223251146606324,0.033243139128009414,-3.4039068721783314,-0.2063642823824669,0.8286594180786411,-0.1879460427876285,okay
Kuchen,lockere Chefin,Katharina,Anna,4,-9.291421967428166,9.361651853787633e-05,-9.27630264175901,-0.5707198664236598,0.5737269980581492,-0.5556016087671889,-0.8703582677580778,0.4251811309944692,-0.8552400100407119,-8.406920243002311,0.00022671836682876226,-8.391801544444371,-7.1822454020071556,0.0007715360620150238,-7.167127014913422,gut
Kuchen,lockere Chefin,Miriam,Luisa,5,-9.619708654114918,6.74613698079679e-05,-9.60395394072395,-6.732544635497704,0.0012104157244747162,-6.716791321819214,-0.017061548330790235,0.9986925382053796,-0.0013083171684092614,-10.44440945600959,2.957277968558288e-05,-10.428652843465043,-18.26074669238247,1.1920652208591053e-08,-18.236639649029268,großartig
Kuchen,gefürchtete Chefin,Sophie,Miriam,1,-3.1173072096113654,0.04442809544611416,-3.1138832270962915,-7.0738052022860165,0.0008499090433563032,-7.070381104362128,-8.026025918689525,0.00032796556546644374,-8.022601633515267,-0.05219158354312458,0.952402439185764,-0.04876760317388102,-6.222245563308966,0.0019915907592992182,-6.218821532833602,schlecht
Kuchen,gefürchtete Chefin,Sophie,Luisa,2,-4.868727371541664,0.007745596248431116,-4.860630810216789,-4.348717113187972,0.01302844070293238,-4.340620557098143,-7.122885651316233,0.0008129921509412133,-7.11478897989951,-0.2064946328812368,0.8200433416360552,-0.19839808434497846,-1.8509201008588696,0.15836962926164003,-1.842823551813122,schlecht
Kuchen,gefürchtete Chefin,Katharina,Sophie,3,-6.437976726618785,0.0016328780435646052,-6.417411088987782,-2.1918893479534693,0.1140265718249737,-2.1713237706870374,-5.326912782770246,0.004960011566061397,-5.3063471862195595,-2.3639095494402422,0.09600605917970512,-2.343343972009198,-0.26471001140561784,0.7833744793856953,-0.24414443488852158,okay
