situation,relationship,personA,personB,state,logit_schrecklich,prob_schrecklich,logprob_schrecklich,logit_okay,prob_okay,logprob_okay,logit_großartig,prob_großartig,logprob_großartig,logit_schlecht,prob_schlecht,logprob_schlecht,logit_gut,prob_gut,logprob_gut,pred_top1
Kuchen,Enge Freundin,Miriam,Luisa,1,-7.661254653125706,0.3036165241557077,-1.1919898072220743,-7.967992470665673,0.22341424605911944,-1.4987276246438055,-11.749841998206865,0.005089492530855215,-5.280577132984272,-7.23251258973708,0.4661500298693187,-0.7632477439482883,-12.829067871971825,0.001729707384999044,-6.359802968584311,schlecht
Kuchen,Enge Freundin,Katharina,Miriam,2,-7.82994470184552,0.04429781841670863,-3.116819846558699,-4.971535002938989,0.7722784172175502,-0.25841014978012883,-10.13344914631714,0.0044257111866574505,-5.420324270692529,-6.498629904569379,0.1677123362331073,-1.7855050509437467,-9.197342192880395,0.011285716945976477,-4.484217330990265,okay
Kuchen,Enge Freundin,Luisa,Katharina,3,-7.580747924719328,0.027185666031895716,-3.605065425028192,-4.132628451821854,0.8547502518552013,-0.15694595569213365,-6.939370162760998,0.05162817818200652,-2.963687664811344,-7.356576077805866,0.034017044138146976,-3.380893578853436,-7.404697429177811,0.03241885979274968,-3.4290149300804598,okay
Kuchen,Enge Freundin,Luisa,Sophie,4,-9.379198102245777,0.0029223465879434133,-5.835368325209339,-5.256838891582072,0.1803223585876742,-1.7130091482101482,-3.7780229318122895,0.7912089482683938,-0.2341931888685389,-9.464403915924091,0.002683658849762684,-5.92057413584417,-7.3220787978931074,0.022862687706225873,-3.778249050701807,großartig
Kuchen,Enge Freundin,Katharina,Miriam,5,-10.976843497752226,0.00012307699313449815,-9.002699625481096,-10.697969997201994,0.0001626634952423801,-8.723826322664179,-1.9749968267589226,0.9991465973683347,-0.0008537668869150629,-12.26583420099851,3.391371201210657e-05,-10.291688192571113,-9.509728992258147,0.0005337484312764765,-7.535585745132061,großartig
Kuchen,Entfernte Kollegin,Katharina,Miriam,1,-7.133723304164117,0.46636093359038555,-0.7627954088382856,-8.119468260302606,0.17402777515289555,-1.7485403646165796,-11.16557323879355,0.008273932709989251,-4.794645331595995,-7.426130870452539,0.3481217600015875,-1.0552029750538783,-12.110669661059442,0.0032155985451420848,-5.739741734849628,schrecklich
Kuchen,Entfernte Kollegin,Luisa,Miriam,2,-7.665908561401514,0.06968944823565873,-2.663706359538666,-5.214975353636404,0.808339485638467,-0.21277315308478256,-10.488629313512266,0.004142618873142396,-5.486427088945037,-7.237034332099891,0.10701009195065563,-2.234832130737489,-9.5287132228991,0.01081835530207618,-4.52651101322764,okay
Kuchen,Entfernte Kollegin,Miriam,Katharina,3,-8.320332549523163,0.02125900151633513,-3.8509748678325866,-4.693755452039591,0.7989972499769364,-0.22439777492774696,-6.70044301532798,0.10741178871694151,-2.231085337410296,-8.134971715907252,0.025588454151974794,-3.665614035012552,-7.532437626722208,0.046743505637812176,-3.0630799475961865,okay
Kuchen,Entfernte Kollegin,Luisa,Sophie,4,-9.147998095212433,0.003600224693249274,-5.626758992900286,-5.543789691076007,0.13231754299480966,-2.022550615784147,-3.692900605993365,0.8422642048666682,-0.1716615313385349,-9.708377184821007,0.0020557015338564873,-6.187138061639711,-7.445216960057941,0.01976232591141633,-3.923977880461705,großartig
Kuchen,Entfernte Kollegin,Sophie,Anna,5,-9.129104485890537,0.0010859234391111328,-6.825324465924026,-6.7383690150485425,0.011859938307322512,-4.434589078737805,-2.320780843037594,0.9831427849029202,-0.017000915056888548,-10.81980082827166,0.0002002345956850552,-8.516020400978595,-7.900201824496785,0.003711118754960999,-5.596421869671741,großartig
Kuchen,Lockere Chefin,Katharina,Miriam,1,-7.236197070943607,0.36449912041899757,-1.0092311403785914,-7.649917045775074,0.24100174243800393,-1.4229511150694725,-11.43237266839041,0.005486818288962975,-5.2054067198742455,-7.17899528496677,0.38595698456567984,-0.9520293544170069,-12.017832199278493,0.0030553342883557913,-5.790866236258184,schlecht
Kuchen,Lockere Chefin,Anna,Miriam,2,-8.288490769567119,0.019457413986264455,-3.939527094596501,-4.436531103039697,0.9161570901557519,-0.08756743309935683,-9.958874535176033,0.003661395700429715,-5.609910838032856,-7.387637875691154,0.047898350769376714,-3.0386742037722105,-8.705264127636866,0.012825749388177418,-4.356300450008862,okay
Kuchen,Lockere Chefin,Luisa,Katharina,3,-8.203933407992274,0.01724099731264538,-4.060465160858303,-4.264749234157811,0.8857850253844384,-0.12128099271107456,-7.541182407094328,0.03344964297826129,-3.3977141627709178,-8.230332653103368,0.016791803277738673,-4.086864405814239,-7.206783001858006,0.04673253104691601,-3.063314758384327,okay
Kuchen,Lockere Chefin,Luisa,Katharina,4,-9.072482234132329,0.00719030817280954,-4.935021232951393,-5.748905501829766,0.19959908195155854,-1.611444514055436,-4.4585590161912885,0.7253521420192061,-0.32109802878009897,-10.064468181169241,0.0026664502276493923,-5.927007156392873,-6.867879233824395,0.0651920176287764,-2.7304182450171393,großartig
